"icao","name","city","country","lat","lon","elev_ft","size","continent","runway_ft","paved"
"KC27","Manchester Municipal Airport","Manchester","US","42.490518","-91.497874","987","small_airport","NA","3465","1"
"KC29","Middleton Municipal Morey Field","Middleton","US","43.1143","-89.531502","928","small_airport","NA","4001","1"
"KC35","Reedsburg Municipal Airport","Reedsburg","US","43.525902","-89.9832","907","small_airport","NA","4840","1"
"KC47","Portage Municipal Airport","Portage","US","43.560299","-89.482903","825","small_airport","NA","3775","1"
"KC62","Kendallville Municipal Airport","Kendallville","US","41.472698","-85.260803","1005","small_airport","NA","4400","1"
"KC65","Plymouth Municipal Airport","Plymouth","US","41.365101","-86.300499","800","small_airport","NA","4400","1"
"KC71","Crosby Municipal Airport","Crosby","US","31.296","-91.052902","336","small_airport","NA","3127","1"
"KC73","Dixon Municipal Charles R. Walgreen Field","Dixon","US","41.833875","-89.443967","785","small_airport","NA","3897","1"
"KC74","Cassville Municipal Airport","Cassville","US","42.704200744628906","-90.964599609375","627","small_airport","NA","3000","1"
"KC75","Marshall County Airport","Lacon","US","41.018391","-89.385865","568","small_airport","NA","4003","1"
"KC77","Poplar Grove Airport","Poplar Grove","US","42.322899","-88.836304","858","small_airport","NA","3773","1"
"KC80","New Coalinga Municipal Airport","Coalinga","US","36.163101","-120.293999","622","small_airport","NA","5000","1"
"KC81","Campbell Airport","Grayslake","US","42.32460021972656","-88.0740966796875","788","small_airport","NA","3573","0"
"KC83","Byron Airport","Byron","US","37.82647","-121.621699","79","small_airport","NA","4500","1"
"KC91","Dowagiac Municipal Airport","Dowagiac","US","41.992901","-86.127998","747","small_airport","NA","4700","1"
"KCAD","Wexford County Airport","Cadillac","US","44.275749","-85.421534","1307","small_airport","NA","5001","1"
"KCAE","Columbia Metropolitan Airport","Columbia","US","33.938172","-81.123022","236","medium_airport","NA","8601","1"
"KCAG","Craig Moffat Airport","Craig","US","40.4952011108","-107.522003174","6193","small_airport","NA","5606","1"
"KCAK","Akron Canton Regional Airport","Akron","US","40.916099548339844","-81.44219970703125","1228","medium_airport","NA","8204","1"
"KCAO","Clayton Municipal Airpark","Clayton","US","36.4462013245","-103.166999817","4965","small_airport","NA","6307","1"
"KCAR","Caribou Municipal Airport","Caribou","US","46.871498","-68.017899","626","medium_airport","NA","4003","1"
"KCAV","Clarion Municipal Airport","Clarion","US","42.741901","-93.758904","1162","small_airport","NA","3455","1"
"KCBE","Greater Cumberland Regional Airport","Wiley Ford","US","39.615398","-78.760902","775","small_airport","NA","5047","1"
"KCBF","Council Bluffs Municipal Airport","Council Bluffs","US","41.2592010498","-95.760597229","1253","small_airport","NA","5500","1"
"KCBG","Cambridge Municipal Airport","Cambridge","US","45.557499","-93.264198","945","small_airport","NA","4001","1"
